Feature,Importance
Polymer Molecular Weight (unit not specified),0.27706668
Drug MW,0.13002282
MolLogP,0.11774448
LA/GA,0.06125729
H_Index,0.05872621
Drug Encapsulation Efficiency,0.0532067
