Target,R2,MAE,RMSE,Accuracy
Peppas_n,0.3473165957207034,0.26164584281445274,0.33194193288600027,
Peppas_K,0.17382906611464244,0.137827251631553,0.17119373579505184,
Burst_24h,0.025641354528456173,0.1602257057006824,0.20521542199784285,
Burst_Class,,,,1.0
