Formulation Index,Y2_t50,Residual_Y2
1,237.732283464566,209.32064329732967
1,237.732283464566,209.32064329732967
1,237.732283464566,209.32064329732967
1,237.732283464566,209.32064329732967
1,237.732283464566,209.32064329732967
1,237.732283464566,209.32064329732967
1,237.732283464566,209.32064329732967
1,237.732283464566,209.32064329732967
1,237.732283464566,209.32064329732967
1,237.732283464566,209.32064329732967
1,237.732283464566,209.32064329732967
1,237.732283464566,209.32064329732967
1,237.732283464566,209.32064329732967
1,237.732283464566,209.32064329732967
1,237.732283464566,209.32064329732967
1,237.732283464566,209.32064329732967
1,237.732283464566,209.32064329732967
1,237.732283464566,209.32064329732967
1,237.732283464566,209.32064329732967
1,237.732283464566,209.32064329732967
